Customer ID,Customer Email,Purchase month,Number of user seats bought,Number of users added,Total number of logins,Customer Region,Total number of desktop sessions ran every month,Total number of mobile sessions ran every month,Month churned,Month repurchased
11001,poole@xyz.com,January,2,2,16,North America,30,16,,
11002,billy@yahoo.com,January,10,4,8,North America,68,12,February,
11003,sophie@yahoo.com,January,10,4,8,North America,40,4,February,
11004,howard@xyz.com,January,2,2,14,Europe,16,20,,
11005,stewart@yahoo.com,January,10,2,4,Asia,12,8,February,
11006,ince@xyz.com,January,5,5,30,North America,80,50,,
11007,lawrence@xyz.com,January,5,5,30,North America,15,45,,
11008,knox@xyz.com,January,5,5,40,North America,5,40,,
11009,lewis@xyz.com,January,5,5,45,North America,45,45,,
11010,ross@xyz.com,January,1,1,8,Europe,8,9,,
11011,arnold@xyz.com,January,5,5,30,Europe,40,50,,
11012,paterson@xyz.com,January,10,8,48,North America,8,64,,
11013,chapman@xyz.com,January,2,2,16,Europe,30,20,,
11014,knox@xyz.com,January,10,7,42,North America,70,70,,
11015,kristina@yahoo.com,January,1,1,1,North America,11,4,February,March
11016,timmy@yahoo.com,January,1,1,2,North America,5,2,February,April
11017,sharp@xyz.com,January,5,5,35,Europe,80,40,,
11018,lee@xyz.com,January,1,1,9,North America,14,8,,
11019,mcdonald@xyz.com,January,1,1,7,Europe,14,9,,
11020,parr@xyz.com,January,10,8,72,Europe,40,72,,
11021,joanna@yahoo.com,January,2,1,1,Asia,20,3,February,
11022,marco@yahoo.com,January,2,1,1,Asia,6,3,April,
11023,kerr@xyz.com,January,5,5,45,North America,40,45,,
11024,terrence@yahoo.com,January,1,1,1,Asia,7,5,February,
11025,walsh@xyz.com,January,2,2,12,North America,32,18,,
11026,abraham@xyz.com,January,5,5,35,North America,70,45,,
11027,nolan@xyz.com,January,2,2,12,Europe,32,18,,
11028,duncan@xyz.com,January,2,2,12,North America,18,16,,
11029,ruby@yahoo.com,January,10,3,3,North America,3,12,February,
11030,powell@xyz.com,January,2,2,18,North America,8,16,,
11031,mcgrath@xyz.com,January,10,8,48,North America,72,72,,
11032,lucas@yahoo.com,January,1,1,1,Asia,2,3,March,
11033,allan@xyz.com,January,2,2,12,North America,32,20,,
11034,churchill@xyz.com,January,1,1,8,North America,17,10,,
11035,black@xyz.com,January,5,5,30,Asia,45,50,,
11036,ferguson@xyz.com,January,10,10,60,North America,90,80,,
11037,cameron@xyz.com,January,1,1,9,Asia,1,10,,
11038,mclean@xyz.com,January,5,4,24,North America,12,32,,
11039,james@xyz.com,January,2,2,12,Asia,28,18,,
11040,wilbur@yahoo.com,January,2,1,2,Asia,12,3,March,
11041,cameron@xyz.com,January,2,2,18,North America,16,16,,
11042,underwood@xyz.com,January,10,8,64,North America,0,72,,
11043,chapman@xyz.com,January,1,1,8,North America,7,10,,
11044,grant@xyz.com,January,5,4,28,North America,72,40,,
11045,slater@xyz.com,January,2,2,16,North America,36,18,,
11046,roberts@xyz.com,January,1,1,6,Europe,9,8,,
11047,tucker@xyz.com,January,1,1,9,North America,16,8,,
11048,jeff@yahoo.com,January,5,1,1,Asia,3,2,February,
11049,orville@yahoo.com,January,5,1,1,North America,14,4,February,
11050,mackay@xyz.com,January,5,5,35,North America,35,50,,
11051,edmund@yahoo.com,January,1,1,1,North America,16,3,February,April
11052,edgar@yahoo.com,January,10,3,3,Asia,3,12,March,
11053,ince@xyz.com,January,2,2,18,North America,16,16,,
11054,shelly@yahoo.com,January,10,4,4,North America,40,4,February,
11055,alsop@xyz.com,January,1,1,9,North America,20,8,,
11056,may@xyz.com,January,1,1,9,Europe,16,9,,
11057,hart@xyz.com,January,10,9,54,Europe,144,72,,
11058,dwight@yahoo.com,January,5,1,2,Asia,13,5,February,
11059,ellison@xyz.com,January,1,1,7,North America,3,8,,
11060,smith@xyz.com,January,5,3,24,North America,15,27,,
11061,bower@xyz.com,January,5,5,40,Asia,100,45,,
11062,walsh@xyz.com,January,10,8,64,Europe,0,64,,
11063,tucker@xyz.com,January,2,2,18,North America,28,16,,
11064,ball@xyz.com,January,10,10,80,North America,60,100,,
11065,glover@xyz.com,January,5,5,45,North America,65,45,,
11066,rees@xyz.com,January,10,9,72,Asia,108,81,,
11067,forsyth@xyz.com,January,5,5,45,North America,40,40,,
11068,edmunds@xyz.com,January,5,5,40,North America,25,40,,
11069,turner@xyz.com,January,2,2,18,North America,0,20,,
11070,macleod@xyz.com,January,5,5,45,Asia,70,50,,
11071,hill@xyz.com,January,2,2,16,Europe,18,20,,
11072,duncan@xyz.com,January,10,8,64,Europe,8,64,,
11073,ogden@xyz.com,January,2,2,12,Europe,16,20,,
11074,mackenzie@xyz.com,January,5,5,30,North America,45,50,,
11075,graham@xyz.com,January,1,1,6,North America,5,9,,
11076,russell@xyz.com,January,2,2,14,North America,6,20,,
11077,ogden@xyz.com,January,1,1,7,North America,11,9,,
11078,white@xyz.com,January,2,2,18,North America,30,18,,
11079,maryann@yahoo.com,January,2,1,2,Asia,4,2,February,
11080,amelia@yahoo.com,January,1,1,1,North America,6,1,February,
11081,watson@xyz.com,January,2,2,12,North America,14,18,,
11082,sean@yahoo.com,January,2,1,2,Asia,18,5,February,
11083,skinner@xyz.com,January,5,5,45,North America,90,45,,
11084,johnston@xyz.com,January,5,4,36,Europe,12,32,,
11085,nolan@xyz.com,January,10,9,63,North America,135,72,,
11086,heidi@yahoo.com,January,1,1,1,Europe,12,2,February,
11087,skinner@xyz.com,January,1,1,7,North America,15,10,,
11088,lambert@xyz.com,January,2,2,14,North America,4,18,,
11089,jones@xyz.com,January,10,7,42,North America,56,70,,
11090,wilson@xyz.com,January,2,2,18,Asia,20,18,,
11091,macdonald@xyz.com,January,10,10,70,North America,130,80,,
11092,james@xyz.com,January,1,1,7,North America,15,9,,
11093,coleman@xyz.com,January,10,10,90,North America,120,90,,
11094,esther@yahoo.com,January,2,1,1,Asia,17,4,April,
11095,hunter@xyz.com,January,10,7,63,Europe,112,63,,
11096,ross@xyz.com,January,5,5,45,North America,65,45,,
11097,watson@xyz.com,January,10,10,90,North America,120,90,,
11098,vance@xyz.com,January,2,2,16,Europe,14,20,,
11099,stewart@xyz.com,January,10,7,42,North America,105,70,,
11100,parsons@xyz.com,January,10,7,42,North America,84,70,,
11101,caroline@yahoo.com,January,1,1,1,Europe,7,1,February,
11102,avery@xyz.com,January,10,7,42,North America,56,56,,
11103,mathis@xyz.com,January,5,5,40,North America,35,50,,
11104,juanita@yahoo.com,January,1,1,2,North America,17,4,February,March
11105,janis@yahoo.com,January,2,1,2,Asia,5,3,April,
11106,ellison@xyz.com,January,2,2,14,Asia,26,16,,
11107,fraser@xyz.com,January,10,10,90,North America,100,100,,
11108,gina@yahoo.com,January,1,1,1,Asia,20,4,March,
11109,kelly@xyz.com,January,5,5,40,Europe,75,50,,
11110,mitchell@xyz.com,January,10,7,49,Europe,70,56,,
11111,rampling@xyz.com,January,10,7,49,North America,112,70,,
11112,forsyth@xyz.com,January,1,1,9,North America,15,9,,
11113,sarah@yahoo.com,January,1,1,1,Europe,2,5,February,
11114,dallas@yahoo.com,January,1,1,2,Asia,12,3,February,
11115,robertson@xyz.com,January,10,7,56,North America,140,56,,
11116,lewis@xyz.com,January,10,8,64,North America,104,72,,
11117,marshall@xyz.com,January,5,5,45,Europe,0,40,,
11118,johnston@xyz.com,January,5,5,40,Asia,65,50,,
11119,walsh@xyz.com,January,2,2,18,North America,36,20,,
11120,knox@xyz.com,January,1,1,7,North America,17,9,,
11121,skinner@xyz.com,January,2,2,18,North America,30,18,,
11122,mills@xyz.com,January,1,1,7,North America,11,10,,
11123,allen@yahoo.com,January,1,1,2,Asia,17,5,February,
11124,bailey@xyz.com,January,10,8,48,North America,64,72,,
11125,kayla@yahoo.com,January,1,1,1,Europe,6,5,February,April
11126,morgan@xyz.com,January,5,5,35,North America,95,40,,
11127,dowd@xyz.com,January,1,1,8,North America,8,8,,
11128,shirley@yahoo.com,January,5,1,1,North America,6,5,February,
11129,sue@yahoo.com,January,1,1,1,Asia,10,1,March,
11130,oliver@xyz.com,January,10,8,64,Asia,48,72,,
11131,lillie@yahoo.com,January,10,2,4,Asia,8,4,February,
11132,morrison@xyz.com,January,1,1,8,North America,17,8,,
11133,martin@xyz.com,January,2,2,12,North America,28,18,,
11134,reid@xyz.com,January,10,8,72,North America,56,64,,
11135,earnest@yahoo.com,January,5,1,1,Asia,7,4,February,
11136,otis@yahoo.com,January,1,1,1,Asia,8,1,February,
11137,payne@xyz.com,January,2,2,16,Europe,8,18,,
11138,ince@xyz.com,January,10,10,70,Asia,90,80,,
11139,rees@xyz.com,January,5,5,30,North America,80,45,,
11140,carrie@yahoo.com,January,2,1,1,Asia,15,1,February,
11141,clark@xyz.com,January,1,1,8,Asia,14,10,,
11142,hart@xyz.com,January,10,9,63,North America,63,90,,
11143,underwood@xyz.com,January,5,4,32,North America,44,40,,
11144,cornish@xyz.com,January,2,2,12,North America,24,20,,
11145,jerald@yahoo.com,January,1,1,1,Asia,10,1,February,
11146,henderson@xyz.com,January,5,5,45,North America,30,45,,
11147,micheal@yahoo.com,January,5,1,2,Asia,9,2,February,
11148,dean@yahoo.com,January,1,1,2,North America,2,4,February,
11149,graham@xyz.com,January,5,5,45,Europe,75,50,,
11150,quinn@xyz.com,January,10,7,63,Europe,42,56,,
11151,rutherford@xyz.com,January,5,5,35,North America,45,40,,
11152,lee@xyz.com,January,5,4,28,North America,68,36,,
11153,smith@xyz.com,January,5,4,28,Europe,72,40,,
11154,muriel@yahoo.com,January,5,1,1,Asia,8,3,March,
11155,lana@yahoo.com,January,1,1,1,North America,13,5,February,March
11156,pullman@xyz.com,January,10,7,42,Asia,98,70,,
11157,forsyth@xyz.com,January,2,2,16,Europe,40,20,,
11158,watson@xyz.com,January,2,2,14,North America,24,18,,
11159,piper@xyz.com,January,10,9,63,North America,27,72,,
11160,thomson@xyz.com,January,5,5,40,Europe,20,50,,
11161,april@yahoo.com,January,1,1,2,North America,17,5,February,March
11162,andres@yahoo.com,January,1,1,2,Europe,0,3,February,
11163,mills@xyz.com,January,10,8,56,Europe,144,80,,
11164,rudy@yahoo.com,January,10,3,6,Asia,39,9,February,
11165,sutherland@xyz.com,January,1,1,6,Europe,4,8,,
11166,mcgrath@xyz.com,January,2,2,16,North America,40,16,,
11167,vaughan@xyz.com,January,10,9,54,North America,27,90,,
11168,jackson@xyz.com,January,1,1,9,Europe,19,9,,
11169,reid@xyz.com,January,10,7,42,Europe,91,70,,
11170,margarita@yahoo.com,January,1,1,2,Asia,0,3,March,
